# Malla	Hilos	Tiempo(s)	Iteraciones	Programa
50	1	0.0358879	2040	serial
50	1	0.0352913	2040	parallel_for
50	1	0.0429768	2040	collapse
50	1	0.0422042	2040	sections
50	1	0.0359936	2040	schedule
50	1	0.0358095	2040	sync
50	1	0.0364718	2040	critical
50	1	0.0439239	2040	atomic
50	1	0.0353084	2038	task
50	2	0.0214217	2039	parallel_for
50	2	0.0254026	2039	collapse
50	2	0.0246061	2039	sections
50	2	0.0219109	2039	schedule
50	2	0.022317	2039	sync
50	2	0.0215578	2039	critical
50	2	0.0277032	2039	atomic
50	2	0.0378924	2039	task
50	4	0.0144788	2038	parallel_for
50	4	0.0165062	2038	collapse
50	4	0.0156726	2038	sections
50	4	0.0147393	2038	schedule
50	4	0.016859	2038	sync
50	4	0.017593	2038	critical
50	4	0.0197935	2038	atomic
50	4	0.0529094	2042	task
50	8	0.0123659	2036	parallel_for
50	8	0.0133694	2036	collapse
50	8	0.0123152	2036	sections
50	8	0.0122037	2036	schedule
50	8	0.019217	2036	sync
50	8	0.0183367	2036	critical
50	8	0.0190898	2036	atomic
50	8	0.0896356	2039	task
50	16	0.0152755	2032	parallel_for
50	16	0.0151002	2033	collapse
50	16	0.0151739	2033	sections
50	16	0.0144653	2035	schedule
50	16	0.0293807	2033	sync
50	16	0.0277791	2033	critical
50	16	0.0230113	2033	atomic
50	16	0.112434	2039	task
50	32	0.0211056	2172	parallel_for
50	32	0.0213996	2133	collapse
50	32	0.021677	2139	sections
50	32	0.0199327	2136	schedule
50	32	0.0400234	2125	sync
50	32	0.0410878	2155	critical
50	32	0.0309544	2158	atomic
50	32	0.1201	2039	task
50	64	0.0462848	2595	parallel_for
50	64	0.0418308	2396	collapse
50	64	0.0427019	2354	sections
50	64	0.0445575	2425	schedule
50	64	0.0890904	2574	sync
50	64	0.0954621	2561	critical
50	64	0.0520985	2386	atomic
50	64	0.248535	2040	task
50	80	0.0526417	2492	parallel_for
50	80	0.0518899	2441	collapse
50	80	0.0534828	2502	sections
50	80	0.0538597	2534	schedule
50	80	0.119112	2617	sync
50	80	0.126934	2731	critical
50	80	0.0689926	2517	atomic
50	80	0.336435	2040	task
100	1	0.475188	6752	serial
100	1	0.477456	6752	parallel_for
100	1	0.57573	6752	collapse
100	1	0.575362	6752	sections
100	1	0.476424	6752	schedule
100	1	0.477303	6752	sync
100	1	0.479118	6752	critical
100	1	0.585674	6752	atomic
100	1	0.437209	6751	task
100	2	0.251503	6751	parallel_for
100	2	0.297368	6751	collapse
100	2	0.306093	6751	sections
100	2	0.249852	6751	schedule
100	2	0.252926	6751	sync
100	2	0.252283	6751	critical
100	2	0.308432	6751	atomic
100	2	0.414321	6761	task
100	4	0.138104	6750	parallel_for
100	4	0.172042	6750	collapse
100	4	0.162141	6750	sections
100	4	0.136017	6750	schedule
100	4	0.142814	6750	sync
100	4	0.147046	6750	critical
100	4	0.176044	6750	atomic
100	4	0.436595	6761	task
100	8	0.0864334	6748	parallel_for
100	8	0.0999336	6748	collapse
100	8	0.0984544	6749	sections
100	8	0.0832467	6748	schedule
100	8	0.105087	6748	sync
